Customer_ID,Customer_Surname,Bank_Join_Date,Credit_Score,Country,Gender,Age,Tenure_Years,Account_Balance,Number_Of_Products,Has_Credit_Card,Active_Status,Estimated_Salary_EUR,Churn_Status
15601116,P'an,29-08-2016,686,France,Male,32,7,0.0,2,credit card holder,Active Member,179093.26,Retain
15766374,Leak,10-11-2017,632,Germany,Male,42,5,119624.6,2,credit card holder,Active Member,195978.86,Retain
15716994,Green,16-10-2016,559,Spain,Male,24,6,114739.92,1,credit card holder,Inactive Member,85891.02,Exit
15730759,Chukwudi,08-12-2019,561,France,Female,27,3,135637.0,1,credit card holder,Inactive Member,153080.4,Exit
15797900,Chinomso,08-09-2019,517,France,Male,56,4,142147.32,1,non credit card holder,Inactive Member,39488.04,Exit
15594340,Tao,03-09-2019,569,France,Male,41,4,120243.49,1,credit card holder,Inactive Member,163150.03,Exit
15769955,Onuora,26-07-2019,683,France,Female,40,4,0.0,2,non credit card holder,Inactive Member,75762.0,Retain
15654870,Longo,26-03-2017,759,France,Female,45,6,0.0,2,credit card holder,Active Member,99251.24,Retain
15614230,T'an,10-09-2018,426,France,Female,34,5,0.0,2,credit card holder,Active Member,61230.83,Retain
15657214,Hsia,02-04-2018,601,France,Male,74,5,0.0,2,non credit card holder,Active Member,51554.58,Retain
15600392,Amaechi,30-11-2018,735,France,Female,53,4,123845.36,2,non credit card holder,Active Member,170454.93,Exit
15574692,Pinto,18-12-2017,667,Spain,Female,39,5,0.0,2,credit card holder,Inactive Member,40721.24,Exit
15663885,Blinova,18-09-2017,741,France,Male,32,6,0.0,1,credit card holder,Active Member,64839.23,Retain
15731519,Kerr,17-11-2019,511,France,Female,30,3,0.0,2,credit card holder,Inactive Member,143994.86,Retain
15661708,She,19-05-2018,508,France,Female,41,5,0.0,2,credit card holder,Active Member,94170.84,Retain
15812073,Palmer,24-03-2019,529,France,Female,31,4,0.0,2,credit card holder,Active Member,175697.87,Retain
15761149,Teng,16-10-2016,673,France,Female,44,6,133444.97,1,non credit card holder,Active Member,5708.19,Retain
15712568,Angelo,02-12-2017,515,Spain,Male,40,5,121355.99,1,credit card holder,Inactive Member,138360.29,Retain
15687153,Graham,27-12-2016,850,Germany,Male,49,6,98649.55,1,credit card holder,Inactive Member,119174.88,Exit
15599386,Black,15-07-2016,627,Germany,Male,28,7,71097.23,1,credit card holder,Active Member,130504.49,Retain
15679804,Esquivel,12-09-2017,636,France,Male,36,6,117559.05,2,credit card holder,Active Member,111573.3,Retain
15793883,Lo Duca,18-11-2019,798,France,Male,28,3,0.0,2,credit card holder,Inactive Member,2305.27,Retain
15748231,Hargreaves,08-08-2016,700,Germany,Male,35,7,95853.39,2,credit card holder,Inactive Member,192933.37,Retain
15742511,Gordon,12-10-2019,514,France,Male,35,3,121030.9,1,credit card holder,Inactive Member,10008.68,Retain
15691627,Tai,03-03-2018,713,France,Female,37,5,0.0,1,credit card holder,Active Member,16403.41,Retain
15701936,Bell,25-09-2016,467,Germany,Male,28,6,126315.26,1,credit card holder,Inactive Member,32349.29,Exit
15752047,Trevisano,21-09-2018,689,Germany,Male,33,5,161814.64,2,credit card holder,Inactive Member,169381.9,Retain
15799300,Kao,27-03-2019,510,Germany,Male,31,4,113688.63,1,credit card holder,Inactive Member,33099.41,Exit
15739858,Otitodilichukwu,27-07-2019,618,France,Male,56,4,0.0,1,credit card holder,Active Member,142400.27,Exit
15696859,Oldham,11-11-2018,474,France,Male,45,4,0.0,2,non credit card holder,Inactive Member,172175.9,Retain
15661330,Gilbert,07-04-2016,754,France,Male,37,7,0.0,1,credit card holder,Active Member,116141.72,Retain
15797165,Bergamaschi,04-01-2017,703,France,Male,56,6,0.0,1,non credit card holder,Inactive Member,85547.33,Exit
15572360,Clark,29-11-2017,683,France,Male,30,5,57657.49,1,non credit card holder,Inactive Member,79240.9,Retain
15631512,Schneider,10-11-2017,597,France,Female,26,5,149989.39,1,credit card holder,Inactive Member,42330.58,Retain
15799932,Iweobiegbunam,24-11-2018,812,France,Male,24,4,0.0,2,credit card holder,Active Member,156906.15,Retain
15794253,Marsh,01-11-2017,832,Spain,Female,34,5,138190.13,2,non credit card holder,Active Member,146511.2,Retain
15738980,Yobanna,14-12-2018,506,France,Male,43,4,0.0,2,credit card holder,Inactive Member,105568.6,Retain
15783030,Owens,22-04-2017,685,France,Female,40,6,0.0,1,credit card holder,Inactive Member,72852.74,Exit
15578865,Palerma,17-07-2017,632,Germany,Female,50,6,107959.39,1,credit card holder,Active Member,6985.34,Exit
15670163,Verjus,26-04-2019,666,France,Female,27,4,0.0,2,non credit card holder,Inactive Member,88751.45,Retain
15570051,Gill,04-01-2019,775,Germany,Female,38,4,179886.41,2,non credit card holder,Inactive Member,153122.58,Retain
15565701,Ferri,11-12-2018,698,Spain,Female,39,4,161993.89,1,non credit card holder,Inactive Member,90212.38,Retain
15593636,Cardus,08-09-2019,657,France,Female,39,4,80293.81,1,credit card holder,Inactive Member,97192.76,Retain
15599440,McGregor,02-05-2017,748,France,Female,34,6,0.0,2,credit card holder,Inactive Member,53584.03,Retain
15618255,Fedorov,14-12-2019,642,Germany,Female,56,3,103244.86,2,credit card holder,Inactive Member,143049.72,Exit
15770291,Allan,23-05-2019,844,France,Female,29,4,0.0,2,non credit card holder,Inactive Member,147342.03,Retain
15659002,Mazzanti,03-11-2016,766,France,Female,45,6,0.0,2,non credit card holder,Inactive Member,147184.74,Retain
15579130,Chidiegwu,24-08-2019,708,Germany,Female,43,4,118994.84,1,credit card holder,Inactive Member,181499.77,Exit
15742238,Dellucci,28-07-2017,705,Germany,Male,35,6,136496.12,2,credit card holder,Inactive Member,116672.02,Retain
15692259,Baresi,07-04-2016,695,France,Female,29,7,0.0,2,credit card holder,Inactive Member,111565.45,Retain
15638068,Thompson,30-04-2019,507,Spain,Male,32,4,0.0,2,credit card holder,Inactive Member,67926.18,Retain
15659820,Cross,10-10-2019,614,France,Female,34,3,0.0,2,credit card holder,Inactive Member,185561.89,Retain
15673929,Chin,06-02-2019,543,France,Male,64,4,0.0,2,credit card holder,Active Member,148305.82,Retain
15804787,Onyemauchechukwu,27-04-2019,562,France,Male,75,4,87140.85,1,credit card holder,Active Member,39351.64,Retain
15753888,Johnston,12-11-2016,607,Spain,Female,62,6,108004.64,1,credit card holder,Active Member,23386.77,Exit
15809999,Gordon,09-12-2016,709,France,Female,41,6,150300.65,2,credit card holder,Inactive Member,71672.86,Retain
15728906,Ibekwe,10-12-2019,634,France,Male,77,3,0.0,2,credit card holder,Active Member,161579.85,Retain
15658169,Cook,27-07-2016,778,Spain,Female,47,7,127299.34,2,credit card holder,Inactive Member,124694.99,Retain
15744368,Sun,01-09-2018,633,Spain,Male,58,5,98308.51,1,credit card holder,Active Member,132034.13,Retain
15706217,Kao,13-06-2019,645,Germany,Male,28,4,117466.03,2,credit card holder,Active Member,34490.06,Retain
15699430,Davide,18-03-2017,618,France,Female,35,6,0.0,2,credit card holder,Inactive Member,180439.75,Retain
15569438,Mai,21-12-2019,607,Germany,Male,36,3,106702.94,2,non credit card holder,Inactive Member,198313.69,Retain
15723217,Cremonesi,17-11-2016,616,France,Male,37,6,0.0,1,credit card holder,Inactive Member,111312.96,Retain
15633274,Tai,16-11-2016,679,France,Male,34,6,160515.37,1,credit card holder,Inactive Member,121904.14,Retain
15592773,Eberegbulam,09-12-2017,630,Germany,Female,51,5,108449.23,3,non credit card holder,Inactive Member,88372.69,Exit
15714260,Castiglione,15-12-2017,646,France,Female,38,5,0.0,2,non credit card holder,Inactive Member,178752.73,Retain
15751771,Lowe,18-07-2016,528,Germany,Male,32,7,99092.45,1,non credit card holder,Active Member,111149.98,Retain
15732175,Bruno,02-01-2019,776,France,Male,37,4,0.0,1,non credit card holder,Active Member,8065.0,Retain
15625641,Forbes,03-01-2017,697,Germany,Female,74,6,108071.36,2,credit card holder,Active Member,16445.79,Retain
15666916,Lira,14-11-2018,639,France,Male,43,4,99610.92,2,credit card holder,Inactive Member,187296.78,Retain
15775238,Achebe,11-05-2019,651,Germany,Female,41,4,133432.59,1,non credit card holder,Active Member,151303.48,Retain
15619280,Uspensky,30-08-2016,683,France,Male,25,7,0.0,2,credit card holder,Inactive Member,152698.24,Retain
15598948,DeRose,13-02-2017,523,Spain,Female,24,6,172231.93,1,non credit card holder,Active Member,155144.12,Retain
15691785,Findlay,06-10-2016,850,France,Male,61,6,0.0,1,credit card holder,Inactive Member,53067.83,Exit
15640852,McGregor,15-03-2019,617,Germany,Female,39,4,83348.89,3,credit card holder,Inactive Member,7953.62,Exit
15675794,Hsing,21-06-2016,645,Germany,Male,47,7,152076.93,1,credit card holder,Inactive Member,121840.2,Exit
15586479,Yin,13-06-2019,692,France,Female,36,4,0.0,1,credit card holder,Inactive Member,185580.89,Exit
15812422,Ugorji,26-11-2018,637,France,Male,41,4,0.0,2,non credit card holder,Active Member,102515.42,Retain
15799859,Lucchesi,13-03-2018,704,France,Male,50,5,165438.26,1,credit card holder,Inactive Member,120770.75,Exit
15602280,Martin,29-05-2018,829,Germany,Female,27,5,112045.67,1,credit card holder,Active Member,119708.21,Exit
15589475,Azikiwe,12-11-2017,591,Spain,Female,39,5,0.0,3,credit card holder,Inactive Member,140469.38,Exit
15688865,Wade,18-11-2019,850,France,Female,35,3,0.0,2,non credit card holder,Inactive Member,25329.48,Retain
15750396,McKissick,02-01-2018,670,France,Male,33,5,0.0,2,credit card holder,Active Member,86413.11,Retain
15814846,Ozerova,22-02-2018,691,France,Male,52,5,0.0,1,credit card holder,Inactive Member,175843.68,Exit
15775082,Stewart,30-08-2019,749,France,Male,42,4,129776.72,2,non credit card holder,Active Member,143538.51,Retain
15667651,Young,25-07-2019,585,Spain,Female,33,4,0.0,2,credit card holder,Inactive Member,114182.07,Retain
15693704,Tsou,13-10-2018,679,France,Female,24,4,114948.76,2,non credit card holder,Active Member,135768.25,Retain
15574137,Ch'in,30-11-2019,687,Spain,Male,35,3,0.0,2,credit card holder,Active Member,176450.19,Retain
15720838,Gallo,17-12-2017,689,Spain,Female,31,5,139799.63,1,non credit card holder,Active Member,120663.57,Retain
15596455,Mao,22-10-2017,546,Spain,Female,45,5,0.0,1,non credit card holder,Inactive Member,197789.83,Exit
15711750,Watson,12-12-2018,711,France,Female,34,4,0.0,2,credit card holder,Active Member,175310.38,Retain
15806467,Boyle,24-11-2016,568,Germany,Male,40,6,99282.63,1,non credit card holder,Inactive Member,134600.94,Exit
15702190,Fan,29-05-2018,672,Spain,Male,43,5,0.0,2,credit card holder,Active Member,64515.5,Retain
15791836,Wildman,21-10-2019,690,France,Male,29,3,0.0,2,credit card holder,Inactive Member,108577.97,Retain
15720910,Black,27-08-2019,560,France,Female,66,4,0.0,1,credit card holder,Active Member,15928.49,Retain
15607347,Olisaemeka,30-05-2016,734,France,Male,22,7,130056.23,1,non credit card holder,Inactive Member,121894.31,Exit
15735270,Ruggiero,11-10-2019,767,Spain,Male,47,3,0.0,1,credit card holder,Inactive Member,48161.18,Exit
15681705,Fanucci,03-01-2017,785,France,Male,28,6,0.0,2,credit card holder,Inactive Member,77231.27,Retain
15664881,Norton,08-08-2016,702,France,Male,34,7,100054.77,1,credit card holder,Inactive Member,109496.45,Retain
15612207,Hill,21-03-2016,840,Germany,Female,51,7,87779.83,1,non credit card holder,Active Member,36687.11,Exit
15640074,Barrett,24-06-2016,666,Spain,Female,47,7,0.0,1,non credit card holder,Inactive Member,166650.9,Exit
15769499,Lampungmeiua,16-01-2016,545,Spain,Female,74,7,0.0,2,credit card holder,Active Member,161326.73,Retain
15596984,Pinto,11-02-2018,629,France,Female,31,5,0.0,1,credit card holder,Active Member,16447.6,Exit
15632521,Cattaneo,21-07-2018,689,Germany,Male,45,5,130170.82,2,credit card holder,Inactive Member,150856.38,Retain
15663410,Piccio,26-12-2018,771,Spain,Male,51,4,135506.58,3,credit card holder,Active Member,152479.64,Exit
15663917,Adams,21-04-2018,547,France,Male,43,5,92350.36,1,non credit card holder,Active Member,80262.91,Retain
15649992,Alexander,12-09-2017,681,Spain,Male,65,6,134714.7,2,non credit card holder,Active Member,190419.81,Retain
15693906,Abbott,11-05-2019,645,France,Female,24,4,34547.82,1,credit card holder,Active Member,11638.17,Retain
15720371,McLean,20-01-2016,652,France,Female,51,7,0.0,1,credit card holder,Inactive Member,173989.47,Exit
15778395,McIntyre,30-11-2019,762,Germany,Male,34,3,88815.56,2,credit card holder,Inactive Member,68562.26,Exit
15797190,Charlton,16-11-2016,608,Germany,Female,40,6,96202.32,1,non credit card holder,Inactive Member,161154.85,Retain
15742172,Williamson,10-07-2019,598,Germany,Male,32,4,123938.6,2,credit card holder,Inactive Member,198894.42,Retain
15665790,Rowntree,21-09-2019,538,Germany,Male,39,4,108055.1,2,credit card holder,Inactive Member,27231.26,Retain
15705085,Quesada,14-06-2019,670,Spain,Female,29,4,0.0,2,credit card holder,Inactive Member,27359.19,Retain
15772995,Ts'ao,28-10-2019,529,France,Male,30,3,116295.29,1,credit card holder,Inactive Member,75285.47,Retain
15651581,Lavrentyev,26-01-2016,758,Germany,Male,68,7,112595.85,1,credit card holder,Inactive Member,35865.44,Exit
15774882,Mazzanti,17-11-2019,687,France,Female,35,3,99587.43,1,credit card holder,Active Member,1713.1,Exit
15626114,Pearson,18-07-2019,429,France,Male,24,4,95741.75,1,credit card holder,Inactive Member,46170.75,Retain
15722037,Alvarez,14-06-2019,610,Germany,Male,36,4,115462.02,1,non credit card holder,Active Member,42581.04,Retain
15599078,Yang,15-05-2019,619,Germany,Female,41,4,92467.58,1,credit card holder,Inactive Member,38270.47,Retain
15805637,Hsing,15-09-2019,625,France,Male,36,4,108546.16,3,credit card holder,Inactive Member,133807.77,Exit
15735339,Lynch,03-10-2018,663,France,Male,39,4,0.0,1,credit card holder,Inactive Member,76884.05,Retain
15584462,Liang,21-04-2018,739,France,Male,34,5,0.0,1,credit card holder,Inactive Member,60584.33,Retain
15642137,Fang,30-11-2017,695,Spain,Female,39,5,0.0,2,non credit card holder,Inactive Member,102763.69,Retain
15763895,Hung,18-11-2019,536,France,Male,32,3,178011.5,2,credit card holder,Inactive Member,22375.14,Retain
15693205,Peng,25-06-2018,691,Germany,Female,41,5,109153.96,3,credit card holder,Active Member,148848.76,Exit
15586300,Chinonyelum,29-09-2019,615,France,Male,66,3,0.0,2,credit card holder,Active Member,74580.8,Retain
15573798,Yermolayev,15-02-2016,448,France,Female,36,7,83947.12,2,credit card holder,Inactive Member,81999.53,Retain
15788683,Kang,13-11-2019,588,Germany,Female,34,3,129417.82,1,credit card holder,Inactive Member,153727.32,Retain
15623471,Marcelo,29-12-2017,607,Germany,Male,38,5,98205.77,1,credit card holder,Inactive Member,176318.27,Retain
15599452,Conti,23-03-2019,605,Germany,Female,43,4,125338.8,2,credit card holder,Inactive Member,23970.13,Retain
15720924,Chijioke,23-12-2016,585,France,Female,34,6,0.0,1,credit card holder,Active Member,75503.6,Retain
15633059,Fanucci,23-11-2019,413,France,Male,34,3,0.0,2,non credit card holder,Inactive Member,6534.18,Retain
15580366,Okechukwu,25-11-2017,566,Germany,Male,54,5,118614.6,2,credit card holder,Active Member,172601.62,Retain
15789546,Ojiofor,09-08-2016,639,Spain,Male,28,7,0.0,2,credit card holder,Inactive Member,126561.07,Retain
15592412,Sun,17-04-2019,713,Germany,Male,45,4,131038.14,1,credit card holder,Inactive Member,74005.04,Exit
15738546,Gboliwe,14-11-2018,530,Spain,Female,41,4,0.0,2,non credit card holder,Active Member,147606.71,Retain
15664506,Goodwin,22-11-2019,675,Spain,Male,32,3,197436.82,1,credit card holder,Active Member,52710.7,Retain
15610930,Kwemto,03-11-2016,572,Germany,Female,35,6,139979.07,1,credit card holder,Inactive Member,185662.84,Retain
15724527,Forbes,22-08-2019,825,France,Male,34,4,0.0,2,credit card holder,Active Member,31933.06,Retain
15655341,Chinagorom,08-12-2019,458,Spain,Female,35,3,166492.48,1,credit card holder,Inactive Member,135287.74,Retain
15721251,Watson,11-12-2019,554,Spain,Female,41,3,112152.89,1,non credit card holder,Active Member,36242.19,Retain
15569624,Feng,04-11-2019,671,Germany,Female,31,3,105864.6,2,credit card holder,Inactive Member,145567.34,Retain
15682211,Tu,04-05-2016,467,France,Male,57,7,0.0,2,credit card holder,Active Member,114448.77,Retain
15652169,Buckley,15-07-2016,642,France,Male,35,7,133161.95,1,non credit card holder,Active Member,122254.86,Retain
15620507,Siciliani,11-11-2017,485,Germany,Female,30,5,156771.68,1,credit card holder,Active Member,141148.21,Retain
15667896,De Luca,27-09-2017,833,France,Male,37,5,151226.18,2,credit card holder,Active Member,136129.49,Retain
15788022,Sternberg,10-09-2017,802,Germany,Female,41,6,90757.64,2,non credit card holder,Active Member,169183.66,Retain
15798532,Crawford,24-02-2016,810,France,Male,32,7,120879.73,2,non credit card holder,Active Member,78896.59,Retain
15604576,Eiland,20-07-2018,850,Spain,Male,22,5,0.0,1,credit card holder,Active Member,144385.54,Retain
15685997,Azubuike,07-07-2018,838,Spain,Female,39,5,166733.92,2,credit card holder,Inactive Member,14279.44,Retain
15796910,Tsui,21-11-2017,625,Spain,Female,57,5,0.0,1,non credit card holder,Inactive Member,84106.17,Exit
15813439,Ch'ien,29-11-2018,587,France,Male,33,4,100116.82,1,credit card holder,Inactive Member,34215.58,Retain
15705309,Yuriev,25-05-2019,629,Spain,Male,39,4,0.0,2,non credit card holder,Inactive Member,116748.14,Retain
15782121,Leonard,04-05-2019,610,France,Female,27,4,0.0,2,credit card holder,Inactive Member,14546.76,Retain
15789432,Mazzanti,07-09-2019,451,France,Male,33,4,0.0,2,credit card holder,Inactive Member,184954.11,Retain
15806210,Bateman,23-01-2017,675,Spain,Male,66,6,115654.47,2,credit card holder,Active Member,131970.86,Retain
15720941,Tien,28-07-2018,710,Germany,Male,34,5,147833.3,2,non credit card holder,Active Member,1561.58,Retain
15767358,Obioma,14-11-2018,711,Germany,Female,45,4,97486.15,2,credit card holder,Inactive Member,50610.62,Retain
15797710,Saunders,18-09-2016,619,Germany,Male,29,7,98955.87,1,non credit card holder,Active Member,131712.51,Retain
15787229,Samsonova,21-04-2018,761,Spain,Female,34,5,0.0,2,credit card holder,Inactive Member,61251.25,Retain
15589949,Maclean,23-09-2019,433,Spain,Male,34,3,152806.74,1,credit card holder,Inactive Member,19687.99,Retain
15585466,Russo,16-11-2019,552,France,Male,29,3,0.0,2,credit card holder,Inactive Member,12186.83,Retain
15625964,Buckley,26-08-2017,582,France,Female,43,6,153313.67,1,non credit card holder,Inactive Member,170563.73,Retain
15704651,Bishop,09-03-2017,514,France,Male,26,6,0.0,2,non credit card holder,Inactive Member,121551.93,Retain
15774316,Moretti,18-11-2018,630,France,Male,37,4,0.0,2,credit card holder,Active Member,82647.65,Retain
15645569,Mai,30-11-2019,762,Spain,Female,26,3,123709.46,2,credit card holder,Active Member,169654.57,Retain
15795747,Sheppard,10-07-2019,787,Spain,Female,39,4,171646.76,1,non credit card holder,Active Member,100791.36,Retain
15794323,Buckley,02-02-2019,673,France,Male,32,4,121240.76,1,credit card holder,Inactive Member,116969.73,Retain
15665943,Mai,27-11-2018,445,France,Male,25,4,0.0,2,credit card holder,Inactive Member,119425.94,Retain
15813640,Shih,24-02-2018,642,France,Female,40,5,0.0,2,credit card holder,Inactive Member,10712.82,Retain
15667216,Chung,26-04-2018,579,France,Female,29,5,73194.52,2,credit card holder,Active Member,129209.09,Retain
15686696,Brown,14-07-2019,817,France,Female,37,4,81070.34,2,credit card holder,Inactive Member,80985.88,Retain
15779059,Timms,25-04-2019,670,France,Female,38,4,119624.54,2,credit card holder,Active Member,110472.12,Retain
15759133,Vaguine,19-06-2019,616,France,Male,18,4,0.0,2,credit card holder,Active Member,27308.58,Retain
15706815,Samoylova,12-03-2017,515,Germany,Male,37,6,90432.92,1,credit card holder,Active Member,188366.04,Exit
15801125,Kegley,10-10-2016,627,France,Female,32,6,0.0,1,credit card holder,Inactive Member,106851.7,Retain
15645045,Rudduck,22-05-2019,659,France,Female,38,4,0.0,2,credit card holder,Active Member,132809.18,Retain
15716334,Rozier,11-12-2017,850,Spain,Female,45,5,122311.21,1,credit card holder,Active Member,19482.5,Retain
15718893,Pirozzi,18-12-2017,404,Germany,Female,54,5,125456.07,1,credit card holder,Inactive Member,83715.66,Exit
15664523,Colombo,17-09-2016,696,Germany,Female,31,7,122021.92,2,credit card holder,Inactive Member,33828.64,Retain
15571752,Romani,10-03-2018,668,Germany,Female,32,5,92041.87,1,credit card holder,Active Member,43595.9,Retain
15635244,Ritchie,08-11-2018,716,France,Female,29,4,0.0,2,credit card holder,Active Member,98998.61,Retain
15793197,Bailey,26-08-2017,676,France,Female,34,6,100359.54,1,non credit card holder,Inactive Member,46038.28,Retain
15594594,Loggia,01-06-2018,546,Spain,Male,42,5,139070.51,1,credit card holder,Active Member,86945.0,Retain
15663249,Howells,20-10-2018,575,Spain,Female,37,4,133292.45,1,credit card holder,Inactive Member,111175.09,Retain
15792077,Degtyaryov,11-07-2018,671,Germany,Male,28,5,119859.52,2,credit card holder,Inactive Member,125422.66,Retain
15748718,Gordon,01-08-2019,517,France,Male,28,4,115062.61,1,credit card holder,Inactive Member,179056.23,Retain
15653521,Onuora,25-07-2017,850,Germany,Female,40,6,104449.8,1,credit card holder,Active Member,747.88,Retain
15722578,Spitzer,04-04-2019,685,Germany,Female,21,4,97956.5,1,credit card holder,Active Member,164966.27,Retain
15640648,Howe,16-11-2018,698,France,Male,36,4,0.0,2,non credit card holder,Active Member,19231.98,Retain
15649211,Fokina,06-09-2018,708,Spain,Male,40,5,83015.71,1,credit card holder,Inactive Member,101089.76,Retain
15748854,Sung,26-11-2016,723,Germany,Female,28,6,91938.31,1,credit card holder,Inactive Member,143481.85,Retain
15779738,Buccho,23-07-2019,534,France,Male,24,4,0.0,1,credit card holder,Active Member,169653.32,Retain
15739514,Preston,14-11-2017,659,France,Female,32,5,0.0,2,credit card holder,Active Member,93155.75,Retain
15658432,Freeman,27-07-2016,688,France,Male,40,7,0.0,1,credit card holder,Active Member,47886.44,Retain
15708422,Hsiung,15-01-2016,677,Spain,Female,35,7,0.0,2,non credit card holder,Inactive Member,76637.38,Retain
15676094,Osonduagwuike,08-11-2018,500,France,Female,34,4,0.0,1,credit card holder,Active Member,140268.45,Retain
15634491,Kung,06-12-2019,652,France,Male,30,3,176166.56,2,credit card holder,Active Member,152210.81,Retain
15734737,Bruno,07-09-2018,744,France,Male,56,5,0.0,2,credit card holder,Active Member,169498.61,Retain
15698872,Brown,21-09-2016,633,Spain,Female,39,7,0.0,2,non credit card holder,Inactive Member,191207.03,Retain
15764432,Hicks,01-05-2017,588,Germany,Female,42,6,164307.77,1,credit card holder,Inactive Member,48498.19,Retain
15610343,Marshall-Hall,01-09-2018,705,France,Female,37,5,0.0,2,credit card holder,Active Member,13935.53,Exit
15744105,Kodilinyechukwu,14-07-2019,768,France,Female,28,4,109118.05,2,non credit card holder,Active Member,50911.41,Retain
15707974,Anayochukwu,25-12-2017,815,Spain,Female,38,5,48387.0,1,credit card holder,Inactive Member,184796.84,Retain
15649451,Yates,08-12-2019,746,France,Male,25,3,0.0,2,non credit card holder,Active Member,88728.47,Retain
15679813,Ellis,28-12-2019,727,Spain,Male,28,3,0.0,1,credit card holder,Inactive Member,40357.39,Retain
15781534,Rapuluolisa,04-01-2017,536,Germany,Female,35,6,121520.36,1,non credit card holder,Inactive Member,77178.42,Retain
15730868,Marshall,26-01-2016,747,France,Male,41,7,0.0,2,credit card holder,Active Member,22750.17,Retain
15599535,Howell,13-07-2019,678,Spain,Male,28,4,138668.18,1,credit card holder,Active Member,54144.01,Retain
15570681,Chiang,30-08-2016,560,France,Male,24,7,116084.32,1,credit card holder,Inactive Member,89734.7,Retain
15629603,Chuang,15-09-2019,607,France,Male,31,4,0.0,2,credit card holder,Active Member,43196.5,Retain
15593973,Wilkie,30-09-2017,663,Spain,Female,33,5,122528.18,1,credit card holder,Inactive Member,196260.3,Retain
15570360,Wan,14-08-2016,641,France,Female,35,7,0.0,2,non credit card holder,Inactive Member,125986.18,Retain
15571666,Shaw,14-04-2019,642,Germany,Male,30,4,134497.27,1,non credit card holder,Inactive Member,43250.54,Retain
15758362,Williamson,28-06-2019,731,France,Female,41,4,152243.57,1,credit card holder,Active Member,88783.59,Retain
15711825,Ts'ai,27-08-2016,655,Spain,Female,35,7,82231.51,2,credit card holder,Inactive Member,88798.02,Retain
15598846,Shahan,22-03-2017,700,France,Female,44,6,58781.76,1,credit card holder,Inactive Member,16874.92,Retain
15593470,Tu,12-10-2017,576,Germany,Female,36,5,166287.85,1,credit card holder,Active Member,23305.85,Retain
15609823,Chieloka,20-12-2017,751,Spain,Female,34,5,127095.14,2,non credit card holder,Inactive Member,479.54,Retain
15640521,Chidumaga,20-09-2019,552,Germany,Male,33,4,144962.74,1,credit card holder,Inactive Member,58844.84,Exit
15771742,Boyle,03-01-2018,580,Germany,Male,38,5,115442.19,2,credit card holder,Inactive Member,128481.5,Exit
15597968,Fyans,12-11-2016,617,Spain,Male,50,6,0.0,1,credit card holder,Inactive Member,184839.7,Exit
15740345,Osborne,14-06-2019,657,Spain,Male,42,4,41473.33,1,credit card holder,Inactive Member,112979.6,Exit
15757867,Bray,26-11-2019,570,France,Female,30,3,176173.52,1,credit card holder,Inactive Member,97045.32,Exit
15798749,Davidson,18-11-2019,845,Germany,Female,43,3,152063.59,2,credit card holder,Inactive Member,97910.06,Retain
15601659,Fiorentino,17-05-2019,496,Germany,Female,59,4,91680.1,2,credit card holder,Inactive Member,163141.18,Exit
